QuarterEnd,KMPUR_Close_QuarterEnd
2022-06-30,7.557
2022-09-30,14.0847
2022-12-31,28.4358
2023-03-31,21.3753
2023-06-30,23.8459
2023-09-30,42.2998
2023-12-31,28.8194
2024-03-31,28.869
2024-06-30,28.3238
2024-09-30,19.21
2024-12-31,19.0
2025-03-31,17.6
2025-06-30,14.43
2025-09-30,18.59
2025-12-31,15.82
