QuarterEnd,AZTEK_Close_QuarterEnd
2022-09-30,1.3009
2022-12-31,2.6886
2023-03-31,2.0017
2023-06-30,2.7791
2023-09-30,7.9345
2023-12-31,9.7104
2024-03-31,10.1354
2024-06-30,5.8017
2024-09-30,5.0764
2024-12-31,4.5195
2025-03-31,4.067
2025-06-30,3.84
2025-09-30,5.255
2025-12-31,4.12
