QuarterEnd,MEGMT_Close_QuarterEnd
2023-12-31,22.32
2024-03-31,44.76
2024-06-30,36.1
2024-09-30,33.8
2024-12-31,31.82
2025-03-31,27.8
2025-06-30,26.3
2025-09-30,33.44
2025-12-31,54.1
