QuarterEnd,NETAS_Close_QuarterEnd
2016-03-31,11.77
2016-06-30,8.51
2016-09-30,9.93
2016-12-31,9.99
2017-03-31,10.16
2017-06-30,13.36
2017-09-30,13.86
2017-12-31,15.84
2018-03-31,14.65
2018-06-30,9.16
2018-09-30,8.6
2018-12-31,6.46
2019-03-31,8.16
2019-06-30,6.9
2019-09-30,9.35
2019-12-31,13.06
2020-03-31,10.31
2020-06-30,14.41
2020-09-30,19.4
2020-12-31,28.08
2021-03-31,28.5
2021-06-30,19.8
2021-09-30,16.43
2021-12-31,16.9
2022-03-31,16.89
2022-06-30,17.12
2022-09-30,25.42
2022-12-31,42.0
2023-03-31,26.5
2023-06-30,27.52
2023-09-30,54.95
2023-12-31,41.26
2024-03-31,87.45
2024-06-30,69.95
2024-09-30,83.85
2024-12-31,66.0
2025-03-31,54.05
2025-06-30,47.02
2025-09-30,76.1
2025-12-31,56.8
