QuarterEnd,A1YEN_Close_QuarterEnd
2021-09-30,15.91
2021-12-31,15.1
2022-03-31,16.99
2022-06-30,12.72
2022-09-30,18.77
2022-12-31,31.86
2023-03-31,21.06
2023-06-30,20.6
2023-09-30,29.28
2023-12-31,22.5
2024-03-31,39.4
2024-06-30,30.72
2024-09-30,27.38
2024-12-31,27.92
2025-03-31,26.08
2025-06-30,26.8
2025-09-30,30.52
2025-12-31,28.9
