QuarterEnd,YYLGD_Close_QuarterEnd
2022-06-30,7.6359
2022-09-30,9.0317
2022-12-31,16.6547
2023-03-31,13.1543
2023-06-30,11.4517
2023-09-30,21.9
2023-12-31,12.77
2024-03-31,13.16
2024-06-30,11.89
2024-09-30,10.26
2024-12-31,10.7
2025-03-31,9.38
2025-06-30,10.0
2025-09-30,10.39
2025-12-31,9.71
