QuarterEnd,SEYKM_Close_QuarterEnd
2016-03-31,0.1092
2016-06-30,0.0969
2016-09-30,0.1038
2016-12-31,0.104
2017-03-31,0.144
2017-06-30,0.1563
2017-09-30,0.2188
2017-12-31,0.4601
2018-03-31,0.4887
2018-06-30,0.3888
2018-09-30,0.3559
2018-12-31,0.3434
2019-03-31,0.3568
2019-06-30,0.5084
2019-09-30,0.4638
2019-12-31,0.6056
2020-03-31,0.8697
2020-06-30,0.8215
2020-09-30,1.0623
2020-12-31,3.0772
2021-03-31,4.1306
2021-06-30,3.3256
2021-09-30,5.0467
2021-12-31,2.2902
2022-03-31,1.5565
2022-06-30,1.5474
2022-09-30,2.1905
2022-12-31,3.7693
2023-03-31,2.6082
2023-06-30,2.5918
2023-09-30,4.142
2023-12-31,3.172
2024-03-31,3.4284
2024-06-30,5.2402
2024-09-30,4.64
2024-12-31,3.22
2025-03-31,3.47
2025-06-30,3.06
2025-09-30,7.18
2025-12-31,5.03
