QuarterEnd,IMASM_Close_QuarterEnd
2022-06-30,2.162
2022-09-30,2.906
2022-12-31,9.6
2023-03-31,12.196
2023-06-30,3.77
2023-09-30,4.76
2023-12-31,3.155
2024-03-31,4.31
2024-06-30,3.22
2024-09-30,2.82
2024-12-31,2.95
2025-03-31,2.48
2025-06-30,3.21
2025-09-30,4.27
2025-12-31,4.69
