QuarterEnd,ISMEN_Close_QuarterEnd
2016-03-31,0.1058
2016-06-30,0.1069
2016-09-30,0.1134
2016-12-31,0.1385
2017-03-31,0.1506
2017-06-30,0.1855
2017-09-30,0.224
2017-12-31,0.2951
2018-03-31,0.2849
2018-06-30,0.3043
2018-09-30,0.2974
2018-12-31,0.2849
2019-03-31,0.3409
2019-06-30,0.4489
2019-09-30,0.5939
2019-12-31,0.6942
2020-03-31,0.6948
2020-06-30,1.0758
2020-09-30,1.6137
2020-12-31,3.0446
2021-03-31,2.88
2021-06-30,2.603
2021-09-30,2.4324
2021-12-31,4.2815
2022-03-31,3.5349
2022-06-30,3.7016
2022-09-30,5.3535
2022-12-31,12.617
2023-03-31,8.3156
2023-06-30,12.687
2023-09-30,34.8853
2023-12-31,27.4688
2024-03-31,27.2112
2024-06-30,34.4471
2024-09-30,30.9073
2024-12-31,43.147
2025-03-31,40.26
2025-06-30,36.5
2025-09-30,43.42
2025-12-31,39.62
