QuarterEnd,ATATP_Close_QuarterEnd
2021-06-30,9.4526
2021-09-30,14.4415
2021-12-31,23.2647
2022-03-31,26.9716
2022-06-30,21.771
2022-09-30,18.4665
2022-12-31,26.7861
2023-03-31,16.3282
2023-06-30,18.4194
2023-09-30,55.9989
2023-12-31,96.3932
2024-03-31,107.751
2024-06-30,134.8122
2024-09-30,91.8501
2024-12-31,104.5217
2025-03-31,83.4687
2025-06-30,84.7
2025-09-30,166.6
2025-12-31,132.9
