QuarterEnd,HKTM_Close_QuarterEnd
2022-09-30,15.5191
2022-12-31,23.9472
2023-03-31,14.4614
2023-06-30,16.63
2023-09-30,22.6167
2023-12-31,17.0667
2024-03-31,20.02
2024-06-30,16.07
2024-09-30,16.08
2024-12-31,15.92
2025-03-31,12.3
2025-06-30,10.26
2025-09-30,13.35
2025-12-31,10.9
