QuarterEnd,IZENR_Close_QuarterEnd
2023-09-30,12.0
2023-12-31,6.3106
2024-03-31,6.6118
2024-06-30,5.7271
2024-09-30,4.4565
2024-12-31,4.75
2025-03-31,5.29
2025-06-30,6.28
2025-09-30,9.23
2025-12-31,9.39
