QuarterEnd,PAPIL_Close_QuarterEnd
2019-12-31,1.2789
2020-03-31,1.3334
2020-06-30,2.6818
2020-09-30,2.4694
2020-12-31,3.7771
2021-03-31,3.1929
2021-06-30,2.5291
2021-09-30,2.1379
2021-12-31,2.5249
2022-03-31,3.5249
2022-06-30,2.3053
2022-09-30,2.4682
2022-12-31,3.7231
2023-03-31,2.5181
2023-06-30,2.6261
2023-09-30,5.2644
2023-12-31,8.9128
2024-03-31,21.4908
2024-06-30,24.6228
2024-09-30,12.4167
2024-12-31,13.25
2025-03-31,30.24
2025-06-30,31.62
2025-09-30,16.72
2025-12-31,16.03
