QuarterEnd,ISSEN_Close_QuarterEnd
2021-12-31,4.5347
2022-03-31,5.4456
2022-06-30,8.3624
2022-09-30,13.5824
2022-12-31,28.0925
2023-03-31,23.2253
2023-06-30,16.0517
2023-09-30,13.5141
2023-12-31,10.0815
2024-03-31,10.9273
2024-06-30,11.5961
2024-09-30,9.7333
2024-12-31,8.9914
2025-03-31,7.7055
2025-06-30,7.0131
2025-09-30,8.76
2025-12-31,7.22
