QuarterEnd,AYEN_Close_QuarterEnd
2016-03-31,2.2015
2016-06-30,2.1157
2016-09-30,2.3794
2016-12-31,2.9987
2017-03-31,2.4959
2017-06-30,2.9251
2017-09-30,3.0539
2017-12-31,2.9619
2018-03-31,4.8691
2018-06-30,2.5633
2018-09-30,2.1157
2018-12-31,1.4411
2019-03-31,1.5086
2019-06-30,1.435
2019-09-30,1.8488
2019-12-31,2.7772
2020-03-31,1.9848
2020-06-30,4.4098
2020-09-30,5.2582
2020-12-31,4.3298
2021-03-31,6.2586
2021-06-30,3.4815
2021-09-30,3.7456
2021-12-31,5.8344
2022-03-31,10.7565
2022-06-30,10.9253
2022-09-30,19.8686
2022-12-31,31.9218
2023-03-31,21.3027
2023-06-30,29.7177
2023-09-30,31.8105
2023-12-31,20.2081
2024-03-31,23.4393
2024-06-30,27.7924
2024-09-30,27.0482
2024-12-31,29.1076
2025-03-31,24.7821
2025-06-30,23.1693
2025-09-30,28.14
2025-12-31,24.82
