QuarterEnd,AYDEM_Close_QuarterEnd
2021-06-30,5.9088
2021-09-30,6.8035
2021-12-31,5.8498
2022-03-31,7.5802
2022-06-30,9.0255
2022-09-30,14.4919
2022-12-31,26.0146
2023-03-31,13.8626
2023-06-30,14.6688
2023-09-30,21.6297
2023-12-31,17.2054
2024-03-31,27.7253
2024-06-30,33.9586
2024-09-30,26.1
2024-12-31,23.56
2025-03-31,19.17
2025-06-30,17.09
2025-09-30,18.5
2025-12-31,22.54
