QuarterEnd,ISCTR_Close_QuarterEnd
2016-03-31,0.6453
2016-06-30,0.6314
2016-09-30,0.6577
2016-12-31,0.7173
2017-03-31,0.9181
2017-06-30,1.0735
2017-09-30,0.977
2017-12-31,1.0044
2018-03-31,1.0289
2018-06-30,0.8571
2018-09-30,0.6646
2018-12-31,0.6811
2019-03-31,0.827
2019-06-30,0.9097
2019-09-30,0.9428
2019-12-31,0.9638
2020-03-31,0.7097
2020-06-30,0.839
2020-09-30,0.8044
2020-12-31,1.0525
2021-03-31,0.7247
2021-06-30,0.7902
2021-09-30,0.8042
2021-12-31,1.1141
2022-03-31,1.4179
2022-06-30,1.5629
2022-09-30,2.6834
2022-12-31,4.5567
2023-03-31,4.6281
2023-06-30,5.4014
2023-09-30,9.8885
2023-12-31,8.9742
2024-03-31,10.9393
2024-06-30,15.6191
2024-09-30,13.8552
2024-12-31,13.3428
2025-03-31,12.26
2025-06-30,13.35
2025-09-30,14.15
2025-12-31,14.09
