QuarterEnd,MTRKS_Close_QuarterEnd
2021-06-30,5.8461
2021-09-30,6.2864
2021-12-31,5.2761
2022-03-31,7.2611
2022-06-30,14.9205
2022-09-30,8.5349
2022-12-31,11.9416
2023-03-31,8.3471
2023-06-30,9.5627
2023-09-30,15.7411
2023-12-31,13.2488
2024-03-31,24.261
2024-06-30,21.8605
2024-09-30,17.4787
2024-12-31,20.5549
2025-03-31,24.853
2025-06-30,18.6049
2025-09-30,24.94
2025-12-31,21.98
