QuarterEnd,TATEN_Close_QuarterEnd
2023-09-30,13.025
2023-12-31,7.695
2024-03-31,8.38
2024-06-30,8.2
2024-09-30,9.18
2024-12-31,10.35
2025-03-31,9.175
2025-06-30,10.85
2025-09-30,19.0375
2025-12-31,12.8
