QuarterEnd,BORSK_Close_QuarterEnd
2024-03-31,8.9447
2024-06-30,6.7997
2024-09-30,5.5212
2024-12-31,5.428
2025-03-31,5.0807
2025-06-30,4.8105
2025-09-30,5.4377
2025-12-31,5.7
