QuarterEnd,MAALT_Close_QuarterEnd
2016-03-31,10.42
2016-06-30,9.89
2016-09-30,12.62
2016-12-31,19.1
2017-03-31,18.4
2017-06-30,18.17
2017-09-30,17.1
2017-12-31,19.0
2018-03-31,16.0
2018-06-30,15.59
2018-09-30,16.65
2018-12-31,17.56
2019-03-31,16.07
2019-06-30,18.54
2019-09-30,22.3
2019-12-31,71.0
2020-03-31,59.8
2020-06-30,78.85
2020-09-30,96.1
2020-12-31,111.1
2021-03-31,213.1
2021-06-30,194.8
2021-09-30,170.0
2021-12-31,277.4
2022-03-31,286.9
2022-06-30,231.6
2022-09-30,232.0
2022-12-31,391.0
2023-03-31,278.1
2023-06-30,421.1
2023-09-30,811.2
2023-12-31,790.5
2024-03-31,1193.0
2024-06-30,1133.0
2024-09-30,826.5
2024-12-31,860.5
2025-03-31,762.0
2025-06-30,800.5
2025-09-30,1147.0
2025-12-31,902.0
