QuarterEnd,DNISI_Close_QuarterEnd
2020-09-30,2.0954
2020-12-31,2.4186
2021-03-31,3.161
2021-06-30,2.4377
2021-09-30,2.4602
2021-12-31,2.5993
2022-03-31,2.4938
2022-06-30,2.9495
2022-09-30,4.16
2022-12-31,6.8467
2023-03-31,5.5067
2023-06-30,6.52
2023-09-30,12.85
2023-12-31,12.56
2024-03-31,15.39
2024-06-30,14.92
2024-09-30,15.78
2024-12-31,25.96
2025-03-31,25.92
2025-06-30,22.62
2025-09-30,22.12
2025-12-31,19.18
