QuarterEnd,EGEEN_Close_QuarterEnd
2016-03-31,209.7385
2016-06-30,162.2305
2016-09-30,144.9806
2016-12-31,153.6055
2017-03-31,177.9743
2017-06-30,168.963
2017-09-30,195.3433
2017-12-31,230.8276
2018-03-31,274.5558
2018-06-30,225.8851
2018-09-30,330.9391
2018-12-31,264.7512
2019-03-31,348.7944
2019-06-30,420.3436
2019-09-30,401.6238
2019-12-31,493.9463
2020-03-31,422.8112
2020-06-30,547.6256
2020-09-30,639.3795
2020-12-31,1554.1963
2021-03-31,1474.0262
2021-06-30,1128.7177
2021-09-30,1079.1479
2021-12-31,1641.1262
2022-03-31,1747.7734
2022-06-30,2190.7686
2022-09-30,2193.6851
2022-12-31,6020.8706
2023-03-31,4427.6196
2023-06-30,5280.2197
2023-09-30,7499.6265
2023-12-31,10264.709
2024-03-31,15610.4492
2024-06-30,12537.9424
2024-09-30,10738.2852
2024-12-31,9751.457
2025-03-31,9390.0
2025-06-30,7090.0
2025-09-30,8110.0
2025-12-31,8097.5
