QuarterEnd,BRKVY_Close_QuarterEnd
2022-12-31,34.3739
2023-03-31,21.0353
2023-06-30,20.895
2023-09-30,51.891
2023-12-31,46.0879
2024-03-31,200.9962
2024-06-30,55.0335
2024-09-30,47.3784
2024-12-31,48.132
2025-03-31,54.6864
2025-06-30,64.1
2025-09-30,80.0
2025-12-31,98.2
