QuarterEnd,KTSKR_Close_QuarterEnd
2021-09-30,33.4905
2021-12-31,25.2338
2022-03-31,29.2819
2022-06-30,27.3916
2022-09-30,32.8485
2022-12-31,74.9435
2023-03-31,42.1752
2023-06-30,39.3397
2023-09-30,69.1477
2023-12-31,59.2209
2024-03-31,64.26
2024-06-30,65.2771
2024-09-30,56.8632
2024-12-31,55.9386
2025-03-31,60.6078
2025-06-30,54.8753
2025-09-30,70.1775
2025-12-31,75.0
