QuarterEnd,ENTRA_Close_QuarterEnd
2024-06-30,10.28
2024-09-30,7.81
2024-12-31,7.91
2025-03-31,10.06
2025-06-30,12.16
2025-09-30,11.0
2025-12-31,10.2
