QuarterEnd,SMART_Close_QuarterEnd
2019-06-30,2.64
2019-09-30,2.63
2019-12-31,9.81
2020-03-31,8.28
2020-06-30,8.19
2020-09-30,8.93
2020-12-31,8.86
2021-03-31,7.0
2021-06-30,5.45
2021-09-30,5.37
2021-12-31,5.59
2022-03-31,5.56
2022-06-30,5.61
2022-09-30,6.2
2022-12-31,11.57
2023-03-31,7.82
2023-06-30,8.08
2023-09-30,20.22
2023-12-31,28.6
2024-03-31,44.34
2024-06-30,35.36
2024-09-30,28.9
2024-12-31,29.22
2025-03-31,28.14
2025-06-30,23.58
2025-09-30,24.9
2025-12-31,21.82
