QuarterEnd,PASEU_Close_QuarterEnd
2023-06-30,7.8
2023-09-30,21.7
2023-12-31,13.1625
2024-03-31,13.9125
2024-06-30,16.575
2024-09-30,22.75
2024-12-31,29.56
2025-03-31,38.82
2025-06-30,88.25
2025-09-30,114.0
2025-12-31,135.5
