QuarterEnd,ALKLC_Close_QuarterEnd
2024-06-30,21.2382
2024-09-30,34.3601
2024-12-31,35.8868
2025-03-31,45.8031
2025-06-30,41.2648
2025-09-30,88.9882
2025-12-31,212.6
