QuarterEnd,RGYAS_Close_QuarterEnd
2024-06-30,122.2848
2024-09-30,112.4981
2024-12-31,130.4899
2025-03-31,105.0839
2025-06-30,134.9384
2025-09-30,146.208
2025-12-31,137.8
