QuarterEnd,BMSTL_Close_QuarterEnd
2022-06-30,4.414
2022-09-30,4.961
2022-12-31,9.1572
2023-03-31,9.7283
2023-06-30,10.5728
2023-09-30,12.1701
2023-12-31,13.8698
2024-03-31,15.7691
2024-06-30,22.4897
2024-09-30,24.1065
2024-12-31,28.94
2025-03-31,44.02
2025-06-30,45.3
2025-09-30,70.0
2025-12-31,90.95
