QuarterEnd,ICBCT_Close_QuarterEnd
2016-03-31,1.6764
2016-06-30,1.488
2016-09-30,1.358
2016-12-31,1.5789
2017-03-31,2.0988
2017-06-30,3.16
2017-09-30,3.4
2017-12-31,4.56
2018-03-31,4.88
2018-06-30,4.51
2018-09-30,5.45
2018-12-31,4.93
2019-03-31,3.7
2019-06-30,3.92
2019-09-30,3.88
2019-12-31,5.27
2020-03-31,4.08
2020-06-30,5.67
2020-09-30,7.11
2020-12-31,6.5
2021-03-31,6.12
2021-06-30,5.3
2021-09-30,5.78
2021-12-31,5.28
2022-03-31,5.02
2022-06-30,4.83
2022-09-30,6.63
2022-12-31,11.52
2023-03-31,6.7
2023-06-30,7.7
2023-09-30,12.66
2023-12-31,14.49
2024-03-31,15.07
2024-06-30,14.48
2024-09-30,13.2
2024-12-31,13.9
2025-03-31,13.24
2025-06-30,16.64
2025-09-30,16.9
2025-12-31,13.1
