QuarterEnd,HRKET_Close_QuarterEnd
2024-06-30,70.05
2024-09-30,72.45
2024-12-31,72.35
2025-03-31,58.2
2025-06-30,78.45
2025-09-30,81.8
2025-12-31,70.15
