QuarterEnd,ERBOS_Close_QuarterEnd
2022-03-31,108.9211
2022-06-30,98.7249
2022-09-30,129.1545
2022-12-31,182.5774
2023-03-31,119.7614
2023-06-30,141.0743
2023-09-30,179.5581
2023-12-31,175.8977
2024-03-31,270.8212
2024-06-30,206.7639
2024-09-30,207.6
2024-12-31,191.1
2025-03-31,165.5
2025-06-30,143.8
2025-09-30,189.2
2025-12-31,180.0
