QuarterEnd,GLCVY_Close_QuarterEnd
2021-12-31,9.5939
2022-03-31,9.9706
2022-06-30,9.8629
2022-09-30,13.2763
2022-12-31,27.3245
2023-03-31,19.4685
2023-06-30,21.9025
2023-09-30,32.1853
2023-12-31,32.1476
2024-03-31,39.8879
2024-06-30,39.6371
2024-09-30,40.8661
2024-12-31,43.8044
2025-03-31,46.9154
2025-06-30,61.7
2025-09-30,61.35
2025-12-31,80.0
