QuarterEnd,SNGYO_Close_QuarterEnd
2016-03-31,0.1167
2016-06-30,0.1225
2016-09-30,0.1128
2016-12-31,0.1128
2017-03-31,0.1167
2017-06-30,0.1361
2017-09-30,0.142
2017-12-31,0.1498
2018-03-31,0.142
2018-06-30,0.1225
2018-09-30,0.0836
2018-12-31,0.0808
2019-03-31,0.0873
2019-06-30,0.1375
2019-09-30,0.1921
2019-12-31,0.2532
2020-03-31,0.1943
2020-06-30,0.3209
2020-09-30,0.441
2020-12-31,0.9125
2021-03-31,0.9736
2021-06-30,0.9059
2021-09-30,0.9278
2021-12-31,0.9321
2022-03-31,1.5281
2022-06-30,2.2485
2022-09-30,1.6237
2022-12-31,1.3162
2023-03-31,1.0575
2023-06-30,0.9488
2023-09-30,1.29
2023-12-31,1.0238
2024-03-31,1.5412
2024-06-30,1.9837
2024-09-30,2.9588
2024-12-31,3.14
2025-03-31,3.33
2025-06-30,4.34
2025-09-30,4.58
2025-12-31,4.54
