QuarterEnd,LILAK_Close_QuarterEnd
2024-06-30,25.3068
2024-09-30,24.1316
2024-12-31,24.9767
2025-03-31,22.3476
2025-06-30,23.08
2025-09-30,29.22
2025-12-31,29.0
