QuarterEnd,KBORU_Close_QuarterEnd
2023-12-31,6.8565
2024-03-31,19.4131
2024-06-30,13.0305
2024-09-30,12.8584
2024-12-31,12.7437
2025-03-31,10.6457
2025-06-30,12.12
2025-09-30,14.63
2025-12-31,14.5
