QuarterEnd,AVTUR_Close_QuarterEnd
2016-03-31,1.55
2016-06-30,1.49
2016-09-30,1.4
2016-12-31,2.6
2017-03-31,7.09
2017-06-30,2.15
2017-09-30,1.67
2017-12-31,1.68
2018-03-31,1.57
2018-06-30,1.35
2018-09-30,1.4
2018-12-31,1.08
2019-03-31,1.12
2019-06-30,1.15
2019-09-30,1.43
2019-12-31,1.82
2020-03-31,1.14
2020-06-30,1.97
2020-09-30,2.78
2020-12-31,3.2
2021-03-31,3.24
2021-06-30,3.22
2021-09-30,2.4
2021-12-31,2.55
2022-03-31,2.3
2022-06-30,1.99
2022-09-30,2.62
2022-12-31,3.55
2023-03-31,3.29
2023-06-30,3.53
2023-09-30,6.66
2023-12-31,8.4
2024-03-31,10.03
2024-06-30,13.9
2024-09-30,13.8
2024-12-31,12.65
2025-03-31,10.48
2025-06-30,11.34
2025-09-30,15.15
2025-12-31,15.3
