QuarterEnd,YUNSA_Close_QuarterEnd
2016-03-31,0.1367
2016-06-30,0.1267
2016-09-30,0.121
2016-12-31,0.1187
2017-03-31,0.1201
2017-06-30,0.1505
2017-09-30,0.2136
2017-12-31,0.2136
2018-03-31,0.3698
2018-06-30,0.3123
2018-09-30,0.3626
2018-12-31,0.207
2019-03-31,0.2202
2019-06-30,0.2231
2019-09-30,0.2543
2019-12-31,0.5002
2020-03-31,0.4347
2020-06-30,0.7631
2020-09-30,0.7005
2020-12-31,0.7283
2021-03-31,0.78
2021-06-30,0.5924
2021-09-30,0.8273
2021-12-31,0.6674
2022-03-31,0.9794
2022-06-30,1.7578
2022-09-30,2.6954
2022-12-31,4.7674
2023-03-31,5.7122
2023-06-30,7.3574
2023-09-30,10.1242
2023-12-31,8.6711
2024-03-31,8.6949
2024-06-30,10.0209
2024-09-30,6.4571
2024-12-31,6.8247
2025-03-31,6.0001
2025-06-30,5.12
2025-09-30,7.21
2025-12-31,7.57
