QuarterEnd,MANAS_Close_QuarterEnd
2021-09-30,2.0945
2021-12-31,2.0742
2022-03-31,2.5952
2022-06-30,2.6308
2022-09-30,2.8418
2022-12-31,6.9901
2023-03-31,4.0588
2023-06-30,4.0163
2023-09-30,6.375
2023-12-31,3.7825
2024-03-31,5.0734
2024-06-30,6.8531
2024-09-30,9.3872
2024-12-31,8.92
2025-03-31,12.32
2025-06-30,4.98
2025-09-30,7.23
2025-12-31,15.95
