QuarterEnd,FORTE_Close_QuarterEnd
2023-06-30,27.9143
2023-09-30,86.4154
2023-12-31,65.9006
2024-03-31,70.9891
2024-06-30,51.3835
2024-09-30,46.4946
2024-12-31,52.3
2025-03-31,75.85
2025-06-30,74.0
2025-09-30,68.15
2025-12-31,80.8
