QuarterEnd,IHLGM_Close_QuarterEnd
2016-03-31,0.4569
2016-06-30,0.4961
2016-09-30,0.4373
2016-12-31,0.4504
2017-03-31,0.594
2017-06-30,0.5287
2017-09-30,1.2858
2017-12-31,1.5044
2018-03-31,1.3432
2018-06-30,1.0745
2018-09-30,1.0438
2018-12-31,0.8059
2019-03-31,0.7462
2019-06-30,0.7119
2019-09-30,0.832
2019-12-31,1.0293
2020-03-31,0.9006
2020-06-30,1.441
2020-09-30,1.2352
2020-12-31,1.25
2021-03-31,1.11
2021-06-30,1.02
2021-09-30,0.85
2021-12-31,0.79
2022-03-31,0.73
2022-06-30,0.68
2022-09-30,0.78
2022-12-31,1.27
2023-03-31,0.93
2023-06-30,1.02
2023-09-30,1.53
2023-12-31,1.34
2024-03-31,1.4
2024-06-30,1.57
2024-09-30,1.26
2024-12-31,2.11
2025-03-31,1.63
2025-06-30,2.31
2025-09-30,2.92
2025-12-31,2.05
