QuarterEnd,SKYMD_Close_QuarterEnd
2023-12-31,6.9779
2024-03-31,11.08
2024-06-30,12.02
2024-09-30,10.43
2024-12-31,15.6
2025-03-31,15.89
2025-06-30,12.14
2025-09-30,14.8
2025-12-31,11.77
