QuarterEnd,EBEBK_Close_QuarterEnd
2023-09-30,69.9445
2023-12-31,70.7217
2024-03-31,47.8926
2024-06-30,45.6777
2024-09-30,43.3267
2024-12-31,60.9492
2025-03-31,48.5238
2025-06-30,45.1476
2025-09-30,56.3854
2025-12-31,55.65
