QuarterEnd,GOKNR_Close_QuarterEnd
2023-03-31,19.3918
2023-06-30,12.5362
2023-09-30,27.869
2023-12-31,18.9354
2024-03-31,20.9163
2024-06-30,26.3153
2024-09-30,26.8008
2024-12-31,23.4136
2025-03-31,21.3871
2025-06-30,23.3153
2025-09-30,22.056
2025-12-31,19.75
