QuarterEnd,EYGYO_Close_QuarterEnd
2022-12-31,1.981
2023-03-31,2.2826
2023-06-30,2.2538
2023-09-30,2.7626
2023-12-31,2.3998
2024-03-31,2.8742
2024-06-30,3.0333
2024-09-30,2.1625
2024-12-31,2.1859
2025-03-31,2.1831
2025-06-30,2.322
2025-09-30,4.3662
2025-12-31,3.79
