QuarterEnd,ESEN_Close_QuarterEnd
2020-12-31,0.6651
2021-03-31,1.3343
2021-06-30,0.985
2021-09-30,1.085
2021-12-31,1.178
2022-03-31,1.0487
2022-06-30,1.1046
2022-09-30,1.5973
2022-12-31,2.7603
2023-03-31,1.901
2023-06-30,2.3086
2023-09-30,3.8892
2023-12-31,2.3871
2024-03-31,2.7171
2024-06-30,3.1429
2024-09-30,3.0
2024-12-31,3.3343
2025-03-31,5.3571
2025-06-30,10.7714
2025-09-30,13.9
2025-12-31,4.44
