QuarterEnd,PRZMA_Close_QuarterEnd
2016-03-31,0.37
2016-06-30,0.57
2016-09-30,0.6867
2016-12-31,0.7767
2017-03-31,1.11
2017-06-30,0.6433
2017-09-30,0.54
2017-12-31,0.54
2018-03-31,0.5833
2018-06-30,0.5733
2018-09-30,0.57
2018-12-31,0.5167
2019-03-31,0.54
2019-06-30,0.68
2019-09-30,1.5467
2019-12-31,1.4333
2020-03-31,1.5933
2020-06-30,1.4733
2020-09-30,1.4967
2020-12-31,1.8267
2021-03-31,1.7967
2021-06-30,1.4067
2021-09-30,1.33
2021-12-31,1.1833
2022-03-31,1.28
2022-06-30,1.0867
2022-09-30,1.5967
2022-12-31,2.7833
2023-03-31,4.8667
2023-06-30,10.6333
2023-09-30,17.6667
2023-12-31,13.9333
2024-03-31,17.7167
2024-06-30,12.3667
2024-09-30,11.0
2024-12-31,7.06
2025-03-31,9.5
2025-06-30,11.9
2025-09-30,16.13
2025-12-31,11.36
