QuarterEnd,PINSU_Close_QuarterEnd
2016-03-31,0.3004
2016-06-30,0.2917
2016-09-30,0.2717
2016-12-31,0.3227
2017-03-31,0.3318
2017-06-30,0.3738
2017-09-30,0.3428
2017-12-31,0.3282
2018-03-31,0.3246
2018-06-30,0.2863
2018-09-30,0.2626
2018-12-31,0.2279
2019-03-31,0.2334
2019-06-30,0.2279
2019-09-30,0.2753
2019-12-31,0.423
2020-03-31,0.598
2020-06-30,1.0666
2020-09-30,1.4751
2020-12-31,1.3547
2021-03-31,1.4313
2021-06-30,1.2873
2021-09-30,1.4167
2021-12-31,1.1333
2022-03-31,1.19
2022-06-30,1.78
2022-09-30,1.6633
2022-12-31,2.58
2023-03-31,2.7333
2023-06-30,2.4833
2023-09-30,3.1967
2023-12-31,4.12
2024-03-31,8.1667
2024-06-30,7.86
2024-09-30,7.28
2024-12-31,6.69
2025-03-31,5.77
2025-06-30,6.17
2025-09-30,11.53
2025-12-31,11.17
