QuarterEnd,EGEPO_Close_QuarterEnd
2021-09-30,1.41
2021-12-31,1.8875
2022-03-31,1.7375
2022-06-30,2.585
2022-09-30,2.5625
2022-12-31,4.5525
2023-03-31,3.745
2023-06-30,5.625
2023-09-30,5.3
2023-12-31,5.025
2024-03-31,4.6525
2024-06-30,4.6925
2024-09-30,5.065
2024-12-31,5.975
2025-03-31,6.25
2025-06-30,7.2
2025-09-30,8.24
2025-12-31,8.19
