QuarterEnd,IHAAS_Close_QuarterEnd
2021-12-31,3.7301
2022-03-31,4.7863
2022-06-30,10.1536
2022-09-30,27.4847
2022-12-31,36.7117
2023-03-31,58.1497
2023-06-30,37.8
2023-09-30,23.86
2023-12-31,14.97
2024-03-31,13.6
2024-06-30,29.98
2024-09-30,20.14
2024-12-31,17.08
2025-03-31,19.64
2025-06-30,29.54
2025-09-30,33.46
2025-12-31,41.1
