QuarterEnd,SMRTG_Close_QuarterEnd
2022-03-31,3.8813
2022-06-30,6.0808
2022-09-30,16.4646
2022-12-31,44.0657
2023-03-31,35.7828
2023-06-30,40.7828
2023-09-30,82.4
2023-12-31,55.25
2024-03-31,57.5
2024-06-30,52.7
2024-09-30,38.4
2024-12-31,40.64
2025-03-31,32.24
2025-06-30,27.5
2025-09-30,27.98
2025-12-31,23.0
