QuarterEnd,RNPOL_Close_QuarterEnd
2021-12-31,12.3
2022-03-31,13.49
2022-06-30,13.14
2022-09-30,13.34
2022-12-31,21.54
2023-03-31,15.09
2023-06-30,18.92
2023-09-30,26.98
2023-12-31,39.58
2024-03-31,37.7
2024-06-30,28.9
2024-09-30,25.36
2024-12-31,25.36
2025-03-31,24.52
2025-06-30,30.98
2025-09-30,37.76
2025-12-31,42.4
