QuarterEnd,PNSUT_Close_QuarterEnd
2016-03-31,1.5967
2016-06-30,1.5866
2016-09-30,1.5016
2016-12-31,1.6437
2017-03-31,1.6198
2017-06-30,1.6231
2017-09-30,1.4543
2017-12-31,1.3793
2018-03-31,1.3351
2018-06-30,1.1282
2018-09-30,0.9256
2018-12-31,0.7537
2019-03-31,0.7548
2019-06-30,0.8255
2019-09-30,1.1007
2019-12-31,1.5359
2020-03-31,1.5032
2020-06-30,2.2342
2020-09-30,2.6258
2020-12-31,2.8441
2021-03-31,2.5632
2021-06-30,2.1959
2021-09-30,1.9953
2021-12-31,2.206
2022-03-31,2.8681
2022-06-30,3.7818
2022-09-30,5.8528
2022-12-31,9.9378
2023-03-31,7.0114
2023-06-30,7.7714
2023-09-30,12.35
2023-12-31,9.4929
2024-03-31,12.1357
2024-06-30,12.2286
2024-09-30,10.38
2024-12-31,9.92
2025-03-31,8.35
2025-06-30,9.1
2025-09-30,12.9
2025-12-31,11.06
