QuarterEnd,HEDEF_Close_QuarterEnd
2021-12-31,0.9744
2022-03-31,0.8912
2022-06-30,1.0544
2022-09-30,1.756
2022-12-31,3.676
2023-03-31,4.3
2023-06-30,3.81
2023-09-30,5.648
2023-12-31,5.58
2024-03-31,5.372
2024-06-30,5.04
2024-09-30,3.44
2024-12-31,3.26
2025-03-31,6.33
2025-06-30,10.19
2025-09-30,52.8
2025-12-31,40.1
