QuarterEnd,FZLGY_Close_QuarterEnd
2023-09-30,4.6581
2023-12-31,3.0324
2024-03-31,3.1164
2024-06-30,3.0172
2024-09-30,4.0679
2024-12-31,6.9197
2025-03-31,8.614
2025-06-30,9.0312
2025-09-30,14.63
2025-12-31,12.88
