QuarterEnd,VAKBN_Close_QuarterEnd
2016-03-31,4.5683
2016-06-30,4.4141
2016-09-30,4.4924
2016-12-31,4.2575
2017-03-31,5.246
2017-06-30,6.3786
2017-09-30,6.1814
2017-12-31,6.6744
2018-03-31,6.4181
2018-06-30,4.8406
2018-09-30,3.79
2018-12-31,3.9
2019-03-31,4.53
2019-06-30,4.19
2019-09-30,5.18
2019-12-31,5.51
2020-03-31,4.64
2020-06-30,5.33
2020-09-30,4.14
2020-12-31,4.71
2021-03-31,3.46
2021-06-30,3.5
2021-09-30,3.26
2021-12-31,3.68
2022-03-31,3.58
2022-06-30,3.58
2022-09-30,6.93
2022-12-31,11.89
2023-03-31,8.95
2023-06-30,9.91
2023-09-30,14.38
2023-12-31,12.84
2024-03-31,14.56
2024-06-30,22.04
2024-09-30,22.88
2024-12-31,23.32
2025-03-31,23.96
2025-06-30,26.46
2025-09-30,25.6
2025-12-31,30.68
