QuarterEnd,ONRYT_Close_QuarterEnd
2024-06-30,76.0
2024-09-30,81.55
2024-12-31,79.4
2025-03-31,62.9
2025-06-30,63.05
2025-09-30,79.4
2025-12-31,63.5
