QuarterEnd,EDIP_Close_QuarterEnd
2016-03-31,0.8
2016-06-30,0.77
2016-09-30,0.74
2016-12-31,0.79
2017-03-31,0.91
2017-06-30,1.12
2017-09-30,1.12
2017-12-31,1.18
2018-03-31,1.19
2018-06-30,0.8
2018-09-30,0.62
2018-12-31,0.77
2019-03-31,0.7
2019-06-30,0.74
2019-09-30,0.91
2019-12-31,1.39
2020-03-31,1.55
2020-06-30,2.25
2020-09-30,3.11
2020-12-31,3.32
2021-03-31,3.98
2021-06-30,2.45
2021-09-30,3.36
2021-12-31,2.79
2022-03-31,3.55
2022-06-30,3.01
2022-09-30,3.48
2022-12-31,12.55
2023-03-31,6.9
2023-06-30,7.6
2023-09-30,15.95
2023-12-31,14.61
2024-03-31,15.78
2024-06-30,25.26
2024-09-30,20.94
2024-12-31,21.54
2025-03-31,19.2
2025-06-30,29.98
2025-09-30,33.9
2025-12-31,34.4
