QuarterEnd,GWIND_Close_QuarterEnd
2021-06-30,2.849
2021-09-30,3.2438
2021-12-31,5.0115
2022-03-31,5.8525
2022-06-30,7.0918
2022-09-30,12.96
2022-12-31,20.3286
2023-03-31,14.8178
2023-06-30,16.6583
2023-09-30,30.4638
2023-12-31,20.5397
2024-03-31,23.4119
2024-06-30,29.6664
2024-09-30,24.1219
2024-12-31,32.8687
2025-03-31,24.7244
2025-06-30,21.9838
2025-09-30,23.6554
2025-12-31,22.34
