QuarterEnd,FADE_Close_QuarterEnd
2020-09-30,5.5294
2020-12-31,5.2017
2021-03-31,15.5798
2021-06-30,18.8571
2021-09-30,8.12
2021-12-31,6.81
2022-03-31,6.66
2022-06-30,6.14
2022-09-30,8.73
2022-12-31,13.19
2023-03-31,9.69
2023-06-30,10.33
2023-09-30,20.84
2023-12-31,14.85
2024-03-31,18.15
2024-06-30,17.19
2024-09-30,15.54
2024-12-31,16.19
2025-03-31,13.19
2025-06-30,12.83
2025-09-30,15.8
2025-12-31,13.34
