QuarterEnd,TARKM_Close_QuarterEnd
2023-09-30,407.5
2023-12-31,551.5
2024-03-31,642.5
2024-06-30,454.25
2024-09-30,446.0
2024-12-31,437.0
2025-03-31,358.0
2025-06-30,312.5
2025-09-30,462.0
2025-12-31,325.0
