QuarterEnd,PCILT_Close_QuarterEnd
2021-12-31,4.0586
2022-03-31,4.1093
2022-06-30,4.3729
2022-09-30,5.648
2022-12-31,12.536
2023-03-31,8.4296
2023-06-30,9.3387
2023-09-30,10.9659
2023-12-31,11.2913
2024-03-31,11.8617
2024-06-30,17.8623
2024-09-30,17.4902
2024-12-31,17.7872
2025-03-31,11.0635
2025-06-30,13.535
2025-09-30,27.46
2025-12-31,22.14
